appointment_id,client_id,agent_id,house_id,appointment_date,appointment_time,status,comments
121,2621,29,280,2023-01-03,06:59:39,scheduled,I appreciate the agent's professionalism and attention to detail.
122,321,12,468,2023-01-03,09:27:54,completed,The agent was very attentive and addressed all my concerns promptly.
123,2795,31,453,2023-01-03,03:06:43,cancelled,I am very pleased with the service. The agent went above and beyond to help.
124,606,12,965,2023-01-03,21:56:03,completed,The agent provided excellent support and made the process smooth and easy.
125,1028,32,29,2023-01-03,03:09:18,cancelled,The agent provided excellent support and made the process smooth and easy.
126,1779,50,178,2023-01-03,00:22:13,completed,"Good service overall, but there were some delays in responses."
127,177,1,543,2023-01-03,14:12:41,cancelled,I appreciate the agent's professionalism and attention to detail.
128,322,16,231,2023-01-03,03:30:55,scheduled,The agent was patient and explained everything clearly. Great service!
129,47,21,807,2023-01-03,10:36:54,cancelled,I am very pleased with the service. The agent went above and beyond to help.
130,414,30,927,2023-01-03,15:28:39,completed,The agent was very professional and courteous throughout the entire process.
131,2666,6,894,2023-01-03,11:41:20,scheduled,The agent was very attentive and addressed all my concerns promptly.
132,1618,20,106,2023-01-03,19:49:19,scheduled,"The service was satisfactory, but there is room for improvement in communication."
133,2158,20,883,2023-01-03,05:27:03,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
134,295,4,693,2023-01-03,08:09:02,completed,The agent's expertise in the market was evident and very reassuring.
135,2222,10,843,2023-01-03,21:43:15,cancelled,The agent's expertise in the market was evident and very reassuring.
136,2066,42,428,2023-01-03,02:05:16,cancelled,I am very pleased with the service. The agent went above and beyond to help.
137,20,48,426,2023-01-03,03:32:16,completed,The agent was patient and explained everything clearly. Great service!
138,1626,8,853,2023-01-03,13:57:22,cancelled,"The service was satisfactory, but there is room for improvement in communication."
139,1562,17,274,2023-01-03,14:47:31,completed,I appreciate the agent's professionalism and attention to detail.
140,318,23,712,2023-01-03,00:14:58,cancelled,I appreciate the agent's professionalism and attention to detail.
141,378,17,244,2023-01-03,00:51:54,completed,The agent was very attentive and addressed all my concerns promptly.
142,2566,16,21,2023-01-03,13:56:05,completed,I am very pleased with the service. The agent went above and beyond to help.
143,2389,6,857,2023-01-03,01:09:29,completed,I am very pleased with the service. The agent went above and beyond to help.
144,2789,39,760,2023-01-03,14:16:51,scheduled,I appreciate the agent's professionalism and attention to detail.
145,2224,3,406,2023-01-03,14:29:08,cancelled,I appreciate the agent's professionalism and attention to detail.
146,2353,29,744,2023-01-03,11:42:30,cancelled,I am very pleased with the service. The agent went above and beyond to help.
147,1233,37,930,2023-01-03,19:39:26,scheduled,I am very pleased with the service. The agent went above and beyond to help.
148,4,9,332,2023-01-03,08:53:10,scheduled,I am very pleased with the service. The agent went above and beyond to help.
149,982,5,908,2023-01-03,09:54:33,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
150,2519,18,763,2023-01-03,04:24:54,scheduled,The agent's expertise in the market was evident and very reassuring.
151,2545,19,396,2023-01-03,16:54:41,scheduled,The agent was very professional and courteous throughout the entire process.
152,2069,20,170,2023-01-03,07:24:03,completed,The agent's expertise in the market was evident and very reassuring.
153,1356,45,499,2023-01-03,13:45:02,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
154,1304,11,332,2023-01-03,10:17:48,cancelled,I am very pleased with the service. The agent went above and beyond to help.
155,2102,32,938,2023-01-03,04:14:14,cancelled,The agent was very attentive and addressed all my concerns promptly.
156,1923,5,528,2023-01-03,07:18:38,cancelled,"Good service overall, but there were some delays in responses."
157,2226,1,153,2023-01-04,04:31:36,completed,I am very pleased with the service. The agent went above and beyond to help.
158,1405,27,186,2023-01-04,05:47:40,completed,The agent provided excellent support and made the process smooth and easy.
159,1812,15,932,2023-01-04,15:18:32,scheduled,The agent was patient and explained everything clearly. Great service!
160,2100,26,95,2023-01-04,06:50:53,cancelled,The agent was very professional and courteous throughout the entire process.
161,278,2,684,2023-01-04,22:59:42,scheduled,I appreciate the agent's professionalism and attention to detail.
162,957,40,241,2023-01-04,08:33:40,cancelled,The agent's expertise in the market was evident and very reassuring.
163,2756,50,787,2023-01-04,14:02:32,completed,"Good service overall, but there were some delays in responses."
164,1992,6,550,2023-01-04,03:31:53,scheduled,"Good service overall, but there were some delays in responses."
165,2742,11,758,2023-01-04,06:15:18,cancelled,The agent was patient and explained everything clearly. Great service!
166,2681,47,142,2023-01-04,09:10:37,completed,The agent was very professional and courteous throughout the entire process.
167,1155,34,49,2023-01-04,05:26:06,completed,The agent's expertise in the market was evident and very reassuring.
168,2309,47,81,2023-01-04,22:07:22,cancelled,I appreciate the agent's professionalism and attention to detail.
169,2859,19,301,2023-01-04,02:37:11,completed,I appreciate the agent's professionalism and attention to detail.
170,1268,8,542,2023-01-04,20:14:53,completed,I appreciate the agent's professionalism and attention to detail.
171,246,37,803,2023-01-04,07:57:31,completed,I appreciate the agent's professionalism and attention to detail.
172,2142,50,551,2023-01-04,00:49:31,cancelled,The agent's expertise in the market was evident and very reassuring.
173,748,13,422,2023-01-04,04:41:15,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
174,204,48,530,2023-01-04,08:06:35,completed,The agent provided excellent support and made the process smooth and easy.
175,962,36,192,2023-01-04,04:47:44,cancelled,I am very pleased with the service. The agent went above and beyond to help.
176,206,10,820,2023-01-04,04:23:49,cancelled,"Good service overall, but there were some delays in responses."
177,678,24,808,2023-01-04,14:58:11,cancelled,The agent's expertise in the market was evident and very reassuring.
178,549,44,73,2023-01-04,06:20:01,scheduled,"The service was satisfactory, but there is room for improvement in communication."
179,815,6,576,2023-01-04,17:52:55,scheduled,I am very pleased with the service. The agent went above and beyond to help.
180,672,26,611,2023-01-04,00:55:05,scheduled,I am very pleased with the service. The agent went above and beyond to help.
181,670,34,487,2023-01-04,02:46:05,completed,The agent provided excellent support and made the process smooth and easy.
182,127,6,745,2023-01-04,19:43:28,scheduled,The agent was patient and explained everything clearly. Great service!
183,2182,44,963,2023-01-04,04:31:08,cancelled,The agent's expertise in the market was evident and very reassuring.
184,2279,15,829,2023-01-04,09:59:26,scheduled,The agent's expertise in the market was evident and very reassuring.
185,2158,12,776,2023-01-04,16:02:55,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
186,1529,2,686,2023-01-04,17:24:12,cancelled,"The service was satisfactory, but there is room for improvement in communication."
187,372,42,265,2023-01-04,19:10:54,cancelled,The agent was patient and explained everything clearly. Great service!
188,2918,7,938,2023-01-04,03:01:53,completed,The agent was very professional and courteous throughout the entire process.
189,2057,30,530,2023-01-04,17:15:49,cancelled,The agent was patient and explained everything clearly. Great service!
190,1367,1,794,2023-01-04,15:11:19,scheduled,I appreciate the agent's professionalism and attention to detail.
191,1822,16,66,2023-01-04,23:46:18,cancelled,The agent was very professional and courteous throughout the entire process.
192,358,28,230,2023-01-04,03:24:39,scheduled,The agent's expertise in the market was evident and very reassuring.
193,185,5,917,2023-01-04,12:37:14,cancelled,I am very pleased with the service. The agent went above and beyond to help.
194,1718,12,746,2023-01-04,09:25:04,scheduled,I appreciate the agent's professionalism and attention to detail.
195,342,48,965,2023-01-04,14:12:56,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
196,390,15,750,2023-01-04,06:33:12,completed,The agent provided excellent support and made the process smooth and easy.
197,2452,32,65,2023-01-04,08:00:20,cancelled,The agent provided excellent support and made the process smooth and easy.
198,2319,17,755,2023-01-04,22:57:13,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
199,950,45,1000,2023-01-04,05:13:00,scheduled,The agent was very professional and courteous throughout the entire process.
200,1974,25,370,2023-01-04,08:34:10,completed,The agent provided excellent support and made the process smooth and easy.
201,2124,10,561,2023-01-04,23:16:43,completed,I appreciate the agent's professionalism and attention to detail.
202,1554,4,388,2023-01-04,04:13:50,cancelled,I appreciate the agent's professionalism and attention to detail.
203,783,28,915,2023-01-04,14:45:12,cancelled,The agent's expertise in the market was evident and very reassuring.
204,1156,34,295,2023-01-04,00:05:31,scheduled,I appreciate the agent's professionalism and attention to detail.
205,1114,25,967,2023-01-04,17:35:20,scheduled,The agent was very professional and courteous throughout the entire process.
206,2909,3,440,2023-01-04,08:50:42,completed,The agent was very professional and courteous throughout the entire process.
207,1587,33,548,2023-01-04,12:19:32,completed,I am very pleased with the service. The agent went above and beyond to help.
208,2554,25,391,2023-01-04,09:47:39,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
209,399,7,699,2023-01-05,19:04:26,completed,The agent was very attentive and addressed all my concerns promptly.
210,2718,26,106,2023-01-05,01:54:06,cancelled,The agent was very professional and courteous throughout the entire process.
211,281,25,298,2023-01-05,13:41:35,completed,"Good service overall, but there were some delays in responses."
212,306,32,664,2023-01-05,22:19:53,completed,"The service was satisfactory, but there is room for improvement in communication."
213,2484,39,280,2023-01-05,15:09:54,cancelled,The agent was very professional and courteous throughout the entire process.
214,1410,13,947,2023-01-05,18:07:07,scheduled,The agent was very attentive and addressed all my concerns promptly.
215,201,13,57,2023-01-05,00:55:02,scheduled,I am very pleased with the service. The agent went above and beyond to help.
216,702,30,890,2023-01-05,20:22:35,completed,The agent provided excellent support and made the process smooth and easy.
217,2545,32,986,2023-01-05,23:13:54,scheduled,Excellent service provided by the agent. Very knowledgeable and helpful.
218,840,20,247,2023-01-05,08:00:16,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
219,754,47,459,2023-01-05,06:10:52,completed,I am very pleased with the service. The agent went above and beyond to help.
220,2712,17,942,2023-01-05,11:58:51,cancelled,I am very pleased with the service. The agent went above and beyond to help.
221,2415,35,671,2023-01-05,19:40:32,cancelled,The agent was very attentive and addressed all my concerns promptly.
222,1507,13,845,2023-01-05,15:10:05,cancelled,The agent was very attentive and addressed all my concerns promptly.
223,1056,41,907,2023-01-05,06:01:05,scheduled,The agent was very attentive and addressed all my concerns promptly.
224,1443,32,542,2023-01-05,17:26:44,completed,The agent was patient and explained everything clearly. Great service!
225,1303,20,400,2023-01-05,04:19:23,completed,I am very pleased with the service. The agent went above and beyond to help.
226,2399,39,920,2023-01-05,13:34:46,cancelled,The agent's expertise in the market was evident and very reassuring.
227,526,43,666,2023-01-05,12:38:56,scheduled,The agent provided excellent support and made the process smooth and easy.
228,31,30,858,2023-01-05,09:54:18,completed,The agent was patient and explained everything clearly. Great service!
229,2265,32,81,2023-01-05,06:20:20,completed,The agent was very attentive and addressed all my concerns promptly.
230,629,40,960,2023-01-05,16:29:49,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
231,135,45,244,2023-01-05,09:21:48,scheduled,"The service was satisfactory, but there is room for improvement in communication."
232,2003,21,87,2023-01-05,07:21:05,completed,The agent's expertise in the market was evident and very reassuring.
233,2170,5,539,2023-01-05,08:34:10,completed,The agent's expertise in the market was evident and very reassuring.
234,100,47,112,2023-01-05,14:48:54,completed,I appreciate the agent's professionalism and attention to detail.
235,2383,44,129,2023-01-05,16:00:10,scheduled,The agent was patient and explained everything clearly. Great service!
236,1405,9,720,2023-01-05,11:02:15,cancelled,"The service was satisfactory, but there is room for improvement in communication."
237,760,9,225,2023-01-05,16:13:26,cancelled,The agent provided excellent support and made the process smooth and easy.
238,402,49,155,2023-01-05,13:26:49,scheduled,The agent provided excellent support and made the process smooth and easy.
239,831,19,290,2023-01-05,13:15:00,completed,I appreciate the agent's professionalism and attention to detail.
240,66,17,625,2023-01-05,08:27:43,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
241,126,22,885,2023-01-05,03:06:30,completed,The agent provided excellent support and made the process smooth and easy.
242,1231,11,845,2023-01-05,22:56:51,scheduled,The agent was very professional and courteous throughout the entire process.
243,2318,16,508,2023-01-05,21:19:23,cancelled,"The service was satisfactory, but there is room for improvement in communication."
244,290,17,251,2023-01-05,08:53:47,scheduled,The agent was very attentive and addressed all my concerns promptly.
245,1988,9,379,2023-01-05,17:37:57,completed,The agent's expertise in the market was evident and very reassuring.
246,1263,8,271,2023-01-05,19:31:21,completed,The agent was very attentive and addressed all my concerns promptly.
247,2359,49,959,2023-01-05,22:34:17,scheduled,The agent provided excellent support and made the process smooth and easy.
248,1348,32,847,2023-01-05,12:46:08,cancelled,I am very pleased with the service. The agent went above and beyond to help.
249,2104,39,42,2023-01-05,12:47:55,scheduled,The agent's expertise in the market was evident and very reassuring.
250,1373,5,804,2023-01-05,14:39:45,scheduled,I appreciate the agent's professionalism and attention to detail.
251,151,32,974,2023-01-05,20:56:20,scheduled,The agent was very professional and courteous throughout the entire process.
252,647,49,212,2023-01-05,15:30:45,cancelled,"Good service overall, but there were some delays in responses."
253,693,37,185,2023-01-05,15:36:27,completed,I appreciate the agent's professionalism and attention to detail.
254,1908,3,720,2023-01-05,20:23:17,scheduled,The agent's expertise in the market was evident and very reassuring.
255,856,34,197,2023-01-05,09:19:52,cancelled,The agent's expertise in the market was evident and very reassuring.
256,2126,33,861,2023-01-05,19:33:34,scheduled,The agent was very professional and courteous throughout the entire process.
257,2766,49,75,2023-01-05,04:08:08,cancelled,I appreciate the agent's professionalism and attention to detail.
258,2386,13,248,2023-01-05,16:32:21,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
259,2005,27,906,2023-01-05,06:22:18,cancelled,Excellent service provided by the agent. Very knowledgeable and helpful.
260,38,22,567,2023-01-05,08:08:09,cancelled,The agent's expertise in the market was evident and very reassuring.
261,2506,45,936,2023-01-06,21:08:02,cancelled,I am very pleased with the service. The agent went above and beyond to help.
262,676,9,832,2023-01-06,12:41:11,scheduled,I am very pleased with the service. The agent went above and beyond to help.
263,1583,33,974,2023-01-06,16:49:54,completed,The agent was very professional and courteous throughout the entire process.
264,1996,6,851,2023-01-06,04:25:10,cancelled,I appreciate the agent's professionalism and attention to detail.
265,755,19,814,2023-01-06,21:35:45,cancelled,"The service was satisfactory, but there is room for improvement in communication."
266,293,37,245,2023-01-06,23:16:06,completed,I am very pleased with the service. The agent went above and beyond to help.
267,1135,14,655,2023-01-06,18:47:54,completed,The agent provided excellent support and made the process smooth and easy.
268,2544,37,22,2023-01-06,04:50:24,scheduled,The agent's expertise in the market was evident and very reassuring.
269,49,31,116,2023-01-06,21:12:19,cancelled,The agent was patient and explained everything clearly. Great service!
270,2706,29,81,2023-01-06,18:59:49,cancelled,The agent was very professional and courteous throughout the entire process.
271,910,17,582,2023-01-06,23:31:42,scheduled,The agent was very attentive and addressed all my concerns promptly.
272,2396,20,633,2023-01-06,01:24:12,scheduled,The agent was patient and explained everything clearly. Great service!
273,2470,49,609,2023-01-06,18:46:09,completed,"The service was satisfactory, but there is room for improvement in communication."
274,1317,2,686,2023-01-06,12:19:23,cancelled,The agent's expertise in the market was evident and very reassuring.
275,1853,20,163,2023-01-06,13:32:06,scheduled,The agent's expertise in the market was evident and very reassuring.
276,95,48,259,2023-01-06,00:50:43,completed,"The service was satisfactory, but there is room for improvement in communication."
277,2469,36,509,2023-01-06,16:27:39,cancelled,The agent provided excellent support and made the process smooth and easy.
278,392,27,64,2023-01-06,12:08:08,cancelled,The agent was very attentive and addressed all my concerns promptly.
279,878,20,99,2023-01-06,04:06:04,completed,The agent provided excellent support and made the process smooth and easy.
280,365,22,293,2023-01-06,04:41:51,cancelled,The agent was very professional and courteous throughout the entire process.
281,1815,6,450,2023-01-06,18:57:36,completed,Excellent service provided by the agent. Very knowledgeable and helpful.
282,2335,4,636,2023-01-06,18:50:11,completed,I am very pleased with the service. The agent went above and beyond to help.
283,688,39,389,2023-01-06,01:23:47,completed,The agent provided excellent support and made the process smooth and easy.
284,1355,22,306,2023-01-06,22:42:30,completed,The agent was patient and explained everything clearly. Great service!
285,974,15,787,2023-01-06,15:47:17,cancelled,"Good service overall, but there were some delays in responses."
286,214,29,982,2023-01-06,20:12:58,completed,I appreciate the agent's professionalism and attention to detail.
287,2214,34,98,2023-01-06,04:04:31,completed,The agent was patient and explained everything clearly. Great service!
288,1587,12,555,2023-01-06,17:40:07,cancelled,"Good service overall, but there were some delays in responses."
289,29,22,989,2023-01-06,04:28:56,completed,"Good service overall, but there were some delays in responses."
290,366,49,90,2023-01-06,23:12:38,scheduled,"Good service overall, but there were some delays in responses."
291,166,26,591,2023-01-06,08:25:05,cancelled,The agent's expertise in the market was evident and very reassuring.
292,2290,18,577,2023-01-06,20:49:49,scheduled,The agent provided excellent support and made the process smooth and easy.
